"state","american_indian_or_alaska_native_percent","asian_percent","black_or_african_american_percent","hispanic_latino_percent","native_hawaiian_or_pacific_islander_percent","two_or_more_races_percent","white_percent"
"Oregon",0.87,3.27,2.69,22.77,0.3,5.41,"64.69"
"US and Outlying Areas",0.69,4.39,12.35,27.65,0.3,4.23,"50.38"
