"race","exit_total","withdrawal_by_parent","proportion"
"AM",267,40,0.149812734082397
"AS",1055,219,0.207582938388626
"BL",731,123,0.168262653898769
"HI",6997,907,0.129626982992711
"MU",1432,263,0.183659217877095
"PI",125,20,0.16
"WH",19338,3219,0.166459820043438
